id,label,text,prediction,n_models_error,models_with_error
308,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5', 'gpt-4o-mini']"
329,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,,1,['gpt-5-mini']
366,ham,I will spoil you in bed as well :),spam,1,['gpt-3.5-turbo-0125']
368,ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,spam,1,['gpt-5-nano']
392,ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",spam,1,['gpt-3.5-turbo-0125']
404,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
419,ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny <#> .irritating <#> .lovable. reply me..,spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
424,ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of <#> Lacs.there is no source to arng dis amt. <#> lacs..thats my prob,spam,1,['gpt-3.5-turbo-0125']
446,ham,K:)k:)what are detail you want to transfer?acc no enough?,spam,1,['gpt-4o-mini']
459,ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love <#> times per night :),spam,4,"['gpt-3.5-turbo-0125', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini']"
463,ham,There are many company. Tell me the language.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
466,ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered <#> to my account and <#> dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",spam,1,['gpt-4o-mini']
473,ham,When're you guys getting back? G said you were thinking about not staying for mcr,,1,['gpt-5']
504,ham,Prabha..i'm soryda..realy..frm heart i'm sory,,1,['gpt-5-mini']
510,spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,ham,1,['gpt-5-mini']
520,ham,Yes! How is a pretty lady like you single?,spam,1,['gpt-4o-mini']
521,spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,ham,1,['gpt-5-mini']
522,ham,Jay says that you're a double-faggot,spam,1,['gpt-4o-mini']
542,ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
543,ham,"Hurry up, I've been weed-deficient for like three days",,1,['gpt-5-mini']
545,ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,spam,1,['gpt-3.5-turbo-0125']
555,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",spam,1,['gpt-3.5-turbo-0125']
559,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
570,ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake & sayin Bite me, bite me.",spam,1,['gpt-4o-mini']
602,ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,spam,6,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
611,ham,Dear we got <#> dollars hi hi,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
613,ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,spam,1,['gpt-5-nano']
645,ham,Tell them the drug dealer's getting impatient,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
647,ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",spam,1,['gpt-4o-mini']
648,spam,88800 and 89034 are premium phone services call 08718711108,ham,1,['gpt-5-mini']
653,ham,Yes baby! We can study all the positions of the kama sutra ;),spam,1,['gpt-3.5-turbo-0125']
656,ham,This pay is <DECIMAL> lakhs:),spam,1,['gpt-4o-mini']
657,ham,Have a good evening! Ttyl,,1,['gpt-5-mini']
660,spam,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",ham,1,['gpt-3.5-turbo-0125']
670,ham,Ü log off 4 wat. It's sdryb8i,spam,1,['gpt-4o-mini']
680,ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",spam,1,['gpt-3.5-turbo-0125']
689,ham,How much r ü willing to pay?,spam,1,['gpt-4o-mini']
701,ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
707,ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,spam,2,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125']"
713,ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
731,ham,Ok. There may be a free gym about.,spam,1,['gpt-3.5-turbo-0125']
732,ham,Men like shorter ladies. Gaze up into his eyes.,spam,1,['gpt-3.5-turbo-0125']
738,spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",ham,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
739,spam,You have an important customer service announcement from PREMIER.,ham,1,['gpt-5-nano']
743,ham,So why didnt you holla?,,1,['gpt-5-mini']
766,ham,Beerage?,spam,1,['gpt-4o-mini']
776,ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,,1,['gpt-5-mini']
781,ham,Ok i msg u b4 i leave my house.,,1,['gpt-5-mini']
794,ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,spam,1,['gpt-5-nano']
797,spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",ham,1,['gpt-5-mini']
803,ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,spam,1,['gpt-3.5-turbo-0125']
816,ham,Surely result will offer:),spam,2,"['gpt-4o-mini', 'gpt-4.1']"
832,ham,"I am real, baby! I want to bring out your inner tigress...",spam,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
833,ham,No da if you run that it activate the full version da.,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
849,spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,ham,1,['gpt-5']
863,ham,I love to give massages. I use lots of baby oil... What is your fave position?,spam,2,"['gpt-3.5-turbo-0125', 'gpt-5-mini']"
864,ham,Dude we should go sup again,,1,['gpt-5-mini']
866,ham,Gibbs unsold.mike hussey,spam,1,['gpt-4o-mini']
873,ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,spam,1,['gpt-4o-mini']
888,ham,WHITE FUDGE OREOS ARE IN STORES,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
907,ham,K:)i will give my kvb acc details:),spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
920,ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
935,ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,spam,1,['gpt-5-nano']
943,ham,Or better still can you catch her and let ask her if she can sell <#> for me.,spam,1,['gpt-5-nano']
951,ham,what is your account number?,spam,3,"['gpt-5-nano', 'gpt-5', 'gpt-4o-mini']"
956,ham,Hey you can pay. With salary de. Only <#> .,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
984,ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, <#> .",spam,1,['gpt-4o-mini']
993,ham,Shall i send that exe to your mail id.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1026,ham,Do u noe wat time e place dat sells 4d closes?,spam,1,['gpt-4o-mini']
1040,ham,No my mum went 2 dentist.,,1,['gpt-5-mini']
1041,ham,Once free call me sir. I am waiting for you.,spam,1,['gpt-4o-mini']
1051,ham,Where can download clear movies. Dvd copies.,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini', 'gpt-4.1']"
1055,ham,You tell what happen dont behave like this to me. Ok no need to say,,1,['gpt-5-mini']
1095,ham,Cancel cheyyamo?and get some money back?,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1117,ham,Babe ? I lost you ... :-(,,1,['gpt-5-mini']
1163,spam,You have 1 new voicemail. Please call 08719181503,ham,2,"['gpt-4.1-mini', 'gpt-5-nano']"
1175,ham,Also maaaan are you missing out,spam,1,['gpt-4o-mini']
1183,spam,You have 1 new voicemail. Please call 08719181513.,ham,2,"['gpt-4.1-mini', 'gpt-5-nano']"
1190,ham,Rofl betta invest in some anti aging products,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
1196,ham,I want to send something that can sell fast. <#> k is not easy money.,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
1210,ham,Hello which the site to download songs its urgent pls,spam,1,['gpt-3.5-turbo-0125']
1222,ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-4o-mini', 'gpt-4.1']"
1228,ham,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",,1,['gpt-5-mini']
1252,ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
1260,ham,"K so am I, how much for an 8th? Fifty?",spam,2,"['gpt-3.5-turbo-0125', 'gpt-5-nano']"
1281,ham,"Just sent again. Do you scream and moan in bed, princess?",spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
1283,ham,Oh just getting even with u.... u?,,1,['gpt-5-mini']
1313,ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,spam,1,['gpt-4o-mini']
1318,ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,spam,1,['gpt-3.5-turbo-0125']
1319,ham,"<#> %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to <#> frnds in <#> mins whn u read...",spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
1332,ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#> . 5)Gently remove Ur hand.. Its interesting..:)",spam,1,['gpt-3.5-turbo-0125']
1350,ham,"Haha just kidding, papa needs drugs",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1358,ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN <#> to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1361,ham,cool. We will have fun practicing making babies!,spam,1,['gpt-3.5-turbo-0125']
1377,ham,No. She's currently in scotland for that.,,1,['gpt-5-mini']
1385,spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,ham,4,"['gpt-4.1-mini', 'gpt-5', 'gpt-5-mini', 'gpt-4.1']"
1401,ham,I am in a marriage function,,1,['gpt-5-mini']
1407,ham,Ya! when are ü taking ure practical lessons? I start in june..,,1,['gpt-5-mini']
1408,ham,"That's good, because I need drugs",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
1414,spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,ham,2,"['gpt-5', 'gpt-5-mini']"
1419,ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,,1,['gpt-5-mini']
1422,spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,ham,2,"['gpt-3.5-turbo-0125', 'gpt-5-nano']"
1451,spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",ham,1,['gpt-3.5-turbo-0125']
1457,ham,Total video converter free download type this in google search:),spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
1458,spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,,1,['gpt-5-mini']
1462,ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,,1,['gpt-5-mini']
1474,ham,Yup ok thanx...,,1,['gpt-5']
1476,ham,Pls pls find out from aunt nike.,,1,['gpt-5-mini']
1499,ham,"Me, i dont know again oh",,1,['gpt-5-mini']
1506,ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,spam,1,['gpt-5-nano']
1515,ham,Tmrw. Im finishing 9 doors,,1,['gpt-5-mini']
1535,ham,There are no other charges after transfer charges and you can withdraw anyhow you like,spam,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
1539,ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",spam,2,"['gpt-3.5-turbo-0125', 'gpt-5-mini']"
1560,ham,645,spam,1,['gpt-4o-mini']
1565,ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",,1,['gpt-5-mini']
1586,spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",ham,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4.1']"
1592,ham,U WILL SWITCH YOUR FONE ON DAMMIT!!,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1612,ham,Ü v ma fan...,spam,1,['gpt-4o-mini']
1621,spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,ham,2,"['gpt-5', 'gpt-5-mini']"
1631,ham,Do you want bold 2 or bb torch,spam,1,['gpt-4o-mini']
1638,ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini', 'gpt-4.1']"
1650,ham,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,,1,['gpt-5-mini']
1651,ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1663,ham,"As in missionary hook up, doggy hook up, standing...|",spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1667,ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.",spam,2,"['gpt-3.5-turbo-0125', 'gpt-5-nano']"
1672,ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
1684,ham,I can do that! I want to please you both inside and outside the bedroom...,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1704,ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",,1,['gpt-5-mini']
1708,ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
1724,ham,No dear i do have free messages without any recharge. Hi hi hi,spam,2,"['gpt-3.5-turbo-0125', 'gpt-5-nano']"
1745,ham,God bless.get good sleep my dear...i will pray!,,1,['gpt-5-mini']
1757,ham,Well i will watch shrek in 3D!!B),,1,['gpt-5-mini']
1787,ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
1794,ham,"Say this slowly.? GOD,I LOVE YOU & I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people & u c miracle tomorrow, do it,pls,pls do it...",spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
1803,ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,,1,['gpt-5-mini']
1805,ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,spam,1,['gpt-3.5-turbo-0125']
1806,ham,Today my system sh get ready.all is well and i am also in the deep well,,1,['gpt-5-mini']
1820,ham,I love your ass! Do you enjoy doggy style? :),spam,4,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
1835,ham,And miss vday the parachute and double coins??? U must not know me very well...,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1858,ham,Ok,i need a text input to classify it as 'ham' or 'spam'.,1,['gpt-3.5-turbo-0125']
1862,spam,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,ham,2,"['gpt-5', 'gpt-5-mini']"
1872,ham,Excellent! Are you ready to moan and scream in ecstasy?,spam,5,"['gpt-3.5-turbo-0125', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
1886,ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,spam,1,['gpt-3.5-turbo-0125']
1891,ham,Howz that persons story,,1,['gpt-5-mini']
1904,ham,Thats cool. Where should i cum? On you or in you? :),spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1933,ham,See the forwarding message for proof,spam,1,['gpt-4o-mini']
1941,ham,"Princess, is your kitty shaved or natural?",spam,1,['gpt-4.1']
1957,ham,"Yes, i'm small kid.. And boost is the secret of my energy..",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
1979,ham,"Sir, I am waiting for your mail.",,1,['gpt-5-mini']
1980,ham,.Please charge my mobile when you get up in morning.,,1,['gpt-5-mini']
1988,ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,spam,6,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
1991,ham,Who's there say hi to our drugdealer,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2006,ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",spam,1,['gpt-3.5-turbo-0125']
2017,ham,"Probably, want to pick up more?",spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
2035,spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",,1,['gpt-5-mini']
2087,ham,Yavnt tried yet and never played original either,,1,['gpt-5-mini']
2090,ham,get ready to moan and scream :),spam,2,"['gpt-4o-mini', 'gpt-4.1']"
2098,ham,I know a few people I can hit up and fuck to the yes,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
2109,ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance",spam,1,['gpt-4o-mini']
2117,ham,soon you will have the real thing princess! Do i make you wet? :),spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
2131,ham,Nice talking to you! please dont forget my pix :) i want to see all of you...,spam,1,['gpt-3.5-turbo-0125']
2140,ham,Oh k.k..where did you take test?,,1,['gpt-5-mini']
2158,spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",ham,5,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4.1']"
2160,ham,will you like to be spoiled? :),spam,1,['gpt-3.5-turbo-0125']
2161,spam,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",ham,1,['gpt-5-mini']
2169,ham,Here got lots of hair dresser fr china.,spam,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-4o-mini']"
2178,spam,88066 FROM 88066 LOST 3POUND HELP,ham,1,['gpt-5-mini']
2187,ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
2197,ham,Dont you have message offer,spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
2210,ham,We can make a baby in yo tho,spam,1,['gpt-3.5-turbo-0125']
2222,ham,That's cause your old. I live to be high.,spam,1,['gpt-4o-mini']
2227,ham,Should I be stalking u?,spam,1,['gpt-3.5-turbo-0125']
2229,ham,Ok lor.,,1,['gpt-5-mini']
